No,Symbol,Company Name,Company Name in Thai,Industry group,"Year 2023
(192 Companies)","Year 2022
(166 Companies)","Year 2021
(143 Companies)","Year 2020
(120 Companies)","Year 2019
(94 Companies)","Year 2018
(76 Companies)","Year 2017
(62 Companies)","Year 2016
(49 Companies)","Year 2015
(50 Companies)"
1,AAV,ASIA AVIATION PCL,?????? ?????? ??????????  ?????? (?????),Services,,Yes,Yes,Yes,Yes,,,,
2,ACE,ABSOLUTE CLEAN ENERGY PCL,?????? ????????? ???? ???????????? ?????? (?????),Resources,AA,Yes,,,,,,,
3,ADB,APPLIED DB PCL,?????? ???????? ???? ?????? (?????),Industrials,A,Yes,Yes,,,,,,
4,ADVANC,ADVANCED INFO SERVICE PCL,?????? ???????? ??????? ???????? ?????? (?????),Technology,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,AGE,ASIA GREEN ENERGY PCL,?????? ?????? ???? ???????? ?????? (?????),Resources,BBB,Yes,Yes,Yes,Yes,Yes,,,
6,AH,AAPICO HITECH PCL,?????? ?????? ????? ?????? (?????),Industrials,A,Yes,Yes,Yes,,Yes,,,
7,AJ,A.J. PLAST PCL,?????? ??.??.?????? ?????? (?????),Industrials,AAA,Yes,,,,,,,
8,AKP,AKKHIE PRAKARN PCL,?????? ??????????? ?????? (?????),Services,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,AMATA,AMATA CORPORATION PCL,?????? ???? ??????????? ?????? (?????),Property & Construction,AAA,Yes,Yes,Yes,Yes,Yes,,,
10,AMATAV,AMATA VN PCL,?????? ???? ?????? ?????? (?????),Property & Construction,AA,Yes,Yes,Yes,,,,,
11,AOT,AIRPORTS OF THAILAND PCL,?????? ?????????????? ?????? (?????),Services,A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
12,AP,AP (THAILAND) PCL,?????? ???? (????????)  ?????? (?????),Property & Construction,AA,Yes,,,,,,,
13,ARROW,ARROW SYNDICATE PCL,?????? ???????? ???????? ?????? (?????),Property & Construction,BBB,Yes,Yes,,,,,,
14,ASIAN,ASIAN SEA CORPORATION PCL,?????? ?????????? ????????????  ?????? (?????),Agro & Food Industry,,Yes,Yes,,,,,,
15,ASW,ASSETWISE PCL,?????? ?????????? ?????? (?????),Property & Construction,A,Yes,,,,,,,
16,AWC,ASSET WORLD PCL,?????? ?????? ?????? ????? ?????? (?????),Property & Construction,A,Yes,Yes,,,,,,
17,BA,BANGKOK AIRWAYS PCL,?????? ????????????? ?????? (?????),Services,BBB,,,,,,,,
18,BAFS,BANGKOK AVIATION FUEL SERVICES PCL,?????? ????????????????????????????? ?????? (?????),Resources,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
19,BAM,BANGKOK COMMERCIAL ASSET MANAGEMENT PCL,????????????????????? ?????????????? ?????? (?????),Financials,AA,Yes,,,,,,,
20,BANPU,BANPU PCL,?????? ?????? ?????? (?????),Resources,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21,BAY,BANK OF AYUDHYA PCL,??????????????????? ?????? (?????),Financials,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
22,BBL,BANGKOK BANK PCL,????????????? ?????? (?????),Financials,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
23,BBGI,BBGI PCL,?????? ???????? ?????? (?????),Resources,AA,,,,,,,,
24,BCH,BANGKOK CHAIN HOSPITAL PCL,?????? ?????? ??? ???????? ?????? (?????),Services,AA,,,,,,,,
25,BCP,BANGCHAK CORPORATION PCL,?????? ?????? ????????????  ?????? (?????),Resources,AAA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
26,BCPG,BCPG PCL,?????? ???????? ?????? (?????),Resources,AA,Yes,Yes,,,,,,
27,BDMS,BANGKOK DUSIT MEDICAL SERVICES PCL,?????? ?????????????????? ?????? (?????),Services,AA,Yes,Yes,Yes,,,,,
28,BEM,BANGKOK EXPRESSWAY AND METRO PCL,?????? ???????????????????????? ?????? (?????),Services,AA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
29,BGC,BG CONTAINER GLASS PCL,?????? ???? ??????????? ????? ?????? (?????),Industrials,AA,Yes,Yes,,,,,,
30,BGRIM,B.GRIMM POWER PCL,?????? ??.???? ???????? ?????? (?????),Resources,AAA,Yes,Yes,Yes,Yes,Yes,,,
31,BJC,BERLI JUCKER PCL,?????? ???????? ???????? ?????? (?????),Services,AA,Yes,Yes,Yes,,,,,
32,BKIH,BKI HOLDINGS PCL,?????? ?????? ????????? ?????? (?????),Financials,AAA,Yes,,,,,,,
33,BLA,BANGKOK LIFE ASSURANCE PCL,?????? ?????????????????? ?????? (?????),Financials,AA,Yes,Yes,,,,,,
34,BPP,BANPU POWER PCL,?????? ?????? ???????? ?????? (?????),Resources,AAA,Yes,Yes,Yes,Yes,Yes,,,
35,BRI,BRITANIA PCL,?????? ????????? ?????? (?????),Property & Construction,AA,,,,,,,,
36,BRR,BURIRAM SUGAR PCL,?????? ??????????????? ?????? (?????),Agro & Food Industry,,,,Yes,,,,,
37,BTS,BTS GROUP HOLDINGS PCL,?????? ??????? ????? ????????? ?????? (?????),Services,AA,Yes,Yes,Yes,Yes,,,,
38,BWG,BETTER WORLD GREEN PCL,?????? ???????? ?????? ???? ?????? (?????),Services,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
